,Home Team Initials,Away Team Initials,Weight,Home Goal Total
359,ITA,ISR,1,
360,ITA,MEX,2,
361,ITA,NOR,3,
362,ITA,NZL,1,
363,ITA,PAR,2,
364,ITA,PER,1,
365,ITA,POL,1,
366,ITA,SUI,1,
367,ITA,SWE,1,
368,ITA,TCH,2,
369,ITA,UKR,1,
370,ITA,URU,2,
371,ITA,USA,3,
372,JAM,CRO,1,
373,JPN,BEL,1,
374,JPN,BRA,1,
375,JPN,CMR,1,
376,JPN,COL,1,
377,JPN,CRO,2,
378,JPN,GRE,1,
379,JPN,JAM,1,
380,JPN,RUS,1,
381,JPN,TUR,1,
382,KOR,ALG,1,
383,KOR,BEL,1,
384,KOR,BOL,1,
385,KOR,BUL,1,
386,KOR,ESP,1,
387,KOR,GRE,1,
388,KOR,ITA,2,
389,KOR,MEX,1,
390,KOR,POL,1,
391,KOR,TOG,1,
392,KOR,TUR,1,
393,KOR,URU,1,
394,KOR,USA,1,
395,KSA,DEN,1,
396,KSA,ESP,1,
397,KSA,IRL,1,
398,KSA,MAR,1,
399,KSA,SWE,1,
400,KSA,UKR,1,
401,MAR,FRG,1,
402,MAR,NED,1,
403,MAR,NOR,1,
404,MAR,POL,1,
405,MEX,ANG,1,
406,MEX,BEL,1,
407,MEX,BUL,2,
408,MEX,CMR,1,
409,MEX,ECU,1,
410,MEX,IRL,1,
411,MEX,IRN,1,
412,MEX,ITA,1,
413,MEX,PAR,1,
414,MEX,SLV,1,
415,MEX,TCH,1,
416,MEX,URS,1,
417,MEX,URU,1,
418,MEX,USA,1,
419,MEX,WAL,1,
420,NED,ARG,5,
421,NED,AUT,1,
422,NED,BEL,1,
423,NED,BRA,3,
424,NED,CHI,1,
425,NED,CIV,1,
426,NED,CRC,2,
427,NED,CRO,1,
428,NED,DEN,1,
429,NED,EGY,1,
430,NED,ESP,1,
431,NED,FRG,1,
432,NED,IRL,1,
433,NED,IRN,1,
434,NED,ITA,1,
435,NED,JPN,1,
436,NED,KOR,1,
437,NED,KSA,1,
438,NED,MEX,3,
439,NED,PER,1,
440,NED,SVK,1,
441,NED,SWE,1,
442,NED,YUG,1,
443,NGA,ARG,1,
444,NGA,BIH,1,
445,NGA,BUL,2,
446,NGA,DEN,1,
447,NGA,ENG,1,
448,NGA,ITA,1,
449,NGA,KOR,1,
450,NGA,PAR,1,
451,NIR,BRA,1,
452,NIR,ESP,2,
453,NIR,TCH,2,
454,NOR,MEX,1,
455,NZL,SVK,1,
456,PAR,BEL,2,
457,PAR,BUL,1,
458,PAR,ESP,1,
459,PAR,IRQ,1,
460,PAR,JPN,1,
461,PAR,NZL,1,
462,PAR,RSA,1,
463,PAR,SCO,1,
464,PAR,TRI,1,
465,PAR,YUG,1,
466,PER,BUL,1,
467,PER,CMR,1,
468,PER,IRN,1,
469,PER,MAR,1,
470,PER,SCO,1,
471,POL,ARG,1,
472,POL,BEL,1,
473,POL,CMR,1,
474,POL,ECU,1,
475,POL,FRA,1,
476,POL,FRG,1,
477,POL,ITA,2,
478,POL,MEX,1,
479,POL,PER,2,
480,POL,POR,1,
481,POL,TUN,1,
482,POL,URS,1,
483,POL,USA,1,
484,POL,YUG,1,
485,POR,BRA,2,
486,POR,BUL,1,
487,POR,ENG,1,
488,POR,FRA,1,
489,POR,GHA,1,
490,POR,HUN,1,
491,POR,IRN,1,
492,POR,KOR,1,
493,POR,MAR,1,
494,POR,MEX,1,
495,POR,NED,1,
496,POR,POL,1,
497,POR,PRK,2,
498,POR,URS,1,
499,PRK,CHI,1,
500,PRK,CIV,1,
501,PRK,ITA,1,
502,ROU,ARG,1,
503,ROU,COL,1,
504,ROU,CRO,1,
505,ROU,ENG,1,
506,ROU,PER,1,
507,ROU,SUI,1,
508,ROU,SWE,1,
509,ROU,TCH,1,
510,ROU,TUN,1,
511,RSA,DEN,1,
512,RSA,ESP,1,
513,RSA,KSA,1,
514,RSA,MEX,1,
515,RSA,SVN,1,
516,RSA,URU,1,
517,RUS,CMR,1,
518,RUS,KOR,1,
519,RUS,TUN,1,
520,SCG,NED,1,
521,SCO,BRA,1,
522,SCO,DEN,1,
523,SCO,IRN,1,
524,SCO,MAR,1,
525,SCO,NED,1,
526,SCO,NOR,1,
527,SCO,NZL,1,
528,SCO,URU,1,
529,SCO,YUG,1,
530,SEN,TUR,1,
531,SEN,URU,1,
532,SRB,GHA,1,
533,SUI,COL,1,
534,SUI,ECU,1,
535,SUI,FRA,1,
536,SUI,GER,2,
537,SUI,HON,1,
538,SUI,ITA,2,
539,SUI,KOR,1,
540,SUI,MEX,1,
541,SUI,NED,1,
542,SUI,UKR,1,
543,SVK,ITA,1,
544,SVK,PAR,1,
545,SVN,ENG,1,
546,SVN,PAR,1,
547,SVN,USA,1,
548,SWE,ARG,2,
549,SWE,BRA,2,
550,SWE,BUL,2,
551,SWE,CRC,1,
552,SWE,CUB,1,
553,SWE,ENG,1,
554,SWE,ESP,1,
555,SWE,FRG,1,
556,SWE,HUN,1,
557,SWE,ISR,1,
558,SWE,ITA,1,
559,SWE,MEX,1,
560,SWE,NGA,1,
561,SWE,PAR,2,
562,SWE,POL,1,
563,SWE,RUS,1,
564,SWE,SCO,1,
565,SWE,SEN,1,
566,SWE,URS,1,
567,SWE,URU,2,
568,SWE,WAL,1,
569,SWE,YUG,1,
570,TCH,ARG,1,
571,TCH,CRC,1,
572,TCH,ESP,1,
573,TCH,GER,1,
574,TCH,HUN,1,
575,TCH,KUW,1,
576,TCH,NED,1,
577,TCH,ROU,1,
578,TCH,SUI,1,
579,TCH,YUG,1,
580,TOG,FRA,1,
581,TOG,SUI,1,
582,TRI,SWE,1,
583,TUN,BEL,1,
584,TUN,JPN,1,
585,TUN,KSA,1,
586,TUN,MEX,1,
587,TUR,CHN,1,
588,TUR,KOR,1,
589,UAE,COL,1,
590,UKR,TUN,1,
591,URS,AUT,1,
592,URS,BEL,2,
593,URS,CAN,1,
594,URS,CHI,1,
595,URS,COL,1,
596,URS,ENG,2,
597,URS,HUN,2,
598,URS,ITA,1,
599,URS,NZL,1,
600,URS,PRK,1,
601,URS,ROU,1,
602,URS,SCO,1,
603,URS,SLV,1,
604,URS,URU,1,
605,URS,YUG,1,
606,URU,ARG,1,
607,URU,BOL,1,
608,URU,BRA,1,
